key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
400022a0,400022a0-1117-4f32-960c-4232f1719f48,,,,white-138---,,,,,,,White,,,,,,,,,,,,1903,1903,,,,,,,,,,,,,,
400066e4,400066e4-8a4b-4a10-ab89-50f0af5d932b,,,,kirkla000and,,,,,,,Kirkland,Andrew,Andrew,,,,,,,,,,,,,,2011,2015,,,,,,,,,,
40006dea,40006dea-b8cf-409a-92bc-d2103255a6ff,607030,mccra001,mccread01,mccree000ada,19550,,,,,,McCreery,Adam,Adam Glenn,,,,1992,12,31,,,,2014,2019,2018,2018,2012,2013,,,,,,,,,,
40006ee3,40006ee3-eb94-44d5-b1d5-7c7aefbfb244,113902,espij001,espinju01,espino001jua,1003829,,,,,,Espino,Juan,Juan,,Reyes,,1956,3,16,,,,1975,1989,1982,1986,,,1999,1999,,,,,,,,
400093f7,400093f7-cddd-45c7-a4ce-95baed185918,453806,,,bonifa000pet,,,,,,,Bonifas,Peter,Peter E.,,,,1981,8,14,,,,,,,,,,,,,,,,,,,
4000b4be,4000b4be-ef16-4f4d-865c-ad03daa26d7a,,,,mclean001jos,,,,,,,McLean,Joseph,Joseph,,,,,,,,,,1937,1937,,,,,,,,,,,,,,
4000c208,4000c208-d01c-4928-a965-5d44709c6fe2,,,,massey009---,,,,,,,Massey,,,,,,,,,,,,1900,1900,,,,,,,,,,,,,,
4000c2dd,4000c2dd-f972-4f74-93c3-c468e93a2722,,,,white-002j--,,,,,,,White,J. C.,J. C.,,,,,,,,,,1941,1941,,,,,,,,,,,,,,
4000c9de,4000c9de-0542-4cee-bade-a587029f080d,,,,moffat000dav,,,,,,,Moffat,David,David,,,,,,,,,,,,,,2018,2022,,,,,,,,,,
4000d7a3,4000d7a3-12b0-4de5-887c-bc523d2a4d1c,,,,santan004vic,,,,,,,Santana,Victor,Victor,,,,,,,,,,,,,,2019,2020,,,,,,,,,,
