key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
d0000ad5,d0000ad5-8638-452d-a861-a0075c438e3b,,,,hassel000gle,,,,,,,Hassell,Glen,Glen,,,,,,,,,,,,,,,,,,,,,,,,,
d00020e4,d00020e4-1778-4003-af03-04b4c04375f2,,,,steinb001jak,,,,,,,Steinbring,Jake,Jake,,,,,,,,,,,,,,2019,2021,,,,,,,,,,
d00021d9,d00021d9-7726-4577-a949-dfae346b952a,,,,goszdo000cas,,,,,,,Goszdowski,Casimir,Casimir,,,,,,,,,,1921,1922,,,,,,,,,,,,,,
d00021da,d00021da-00dd-4291-ab45-ecc96939340a,,,,puello000kev,,,,,,,Puello,Kelvin,Kelvin,,,,1997,6,15,,,,,,,,2020,2020,,,,,,,,,,
d0005ace,d0005ace-95f7-40c8-bc7d-25ed78d3ba71,,,,reid--001ale,,,,,,,Reid,Alex,Alexander,,,,1913,5,2,,,,1935,1936,,,,,,,,,,,,,,
d0006b36,d0006b36-e88a-4141-88d0-e39b53fada3c,570675,,,martin003edg,,,,,,,Martinez,Edgar,Edgar,,,,1990,9,1,,,,2010,2013,,,,,,,,,,,,,,
d00070e9,d00070e9-1649-42db-9df9-ec1a494bd38e,,,,riley-049---,,,,,,,Riley,,,,,,,,,,,,1912,1912,,,,,,,,,,,,,,
d000fa92,d000fa92-90d6-4607-b8e8-8d4a5a702e81,,,,esker-000sco,,,,,,,Esker,Scott,Scott,,,,,,,,,,,,,,,,,,,,,,,,,
d0010b3c,d0010b3c-6944-46d2-88ad-92bdec25ef4f,,,,rose--001nic,,,,,,,Rose,Nicholas,Nicholas,,,,,,,,,,,,,,2020,2020,,,,,,,,,,
d0010cad,d0010cad-2f51-4cc4-ba20-8be3d095947f,647282,,,marklu000bra,,,,,,,Marklund,Brandon,Brandon,,,,1996,6,10,,,,2018,2019,,,2016,2018,,,,,,,,,,
d0011929,d0011929-0389-4cdb-ae61-590755dc6214,,,,teramu001tom,,,,,,,Teramura,Tomokazu,Tomokazu,,,,1974,4,22,,,,1999,2005,,,,,,,,,,,,,,
d001459f,d001459f-c35f-41b0-a770-db54b2e1cb97,,,,steidl000ben,,,,,,,Steidler,Ben,Ben,,,,,,,,,,,,,,2020,2020,,,,,,,,,,
d0014dd4,d0014dd4-d822-4a73-a198-ad975ca23850,,,,cuendi000jos,,,,,,,Cuendia,José,José,,De Armas,,,,,,,,,,,,,,,,,,,,,,,
d00192f6,d00192f6-4f5d-4d7a-a988-7b92ff959312,501503,,,mota--001dav,,,,,,,Mota,David,David,,Aquino,,1987,2,18,,,,2006,2013,,,,,,,,,,,,,,
d0019b96,d0019b96-ddd3-41b2-93e8-cefe01d6f557,,,,montgo001roy,,,,,,,Montgomery,Roy,Roy M.,,,,1876,1,19,1932,9,23,1898,1913,,,,,1900,1914,,,,,,,,
d0019d38,d0019d38-aa0c-4c15-9779-9cfff482594f,,,,jorgen001p--,,,,,,,Jorgenson,P.,P.,,,,,,,,,,1922,1922,,,,,,,,,,,,,,
